"p_female","p_HDI_low","educ_pre_college","age_mean","STEM","Course.Staff.Gender.Photos","Prerequisites","Weekly.Effort","Watson.Sadness.About","Textio.Score.About","Course.Staff.Race.Photos","Course.Title.Intro","Textio.Tone.Analysis.About","Institution.Ranking","HDI.of.Institution.Location","Geographic.Location","Course.Subject"
0.256177924217463,0.340269277845777,0.125210792580101,35.9077184775674,0,-1,1,6,0.154759,NA,0,0,NA,93,0.914,"US East","Business & Management"
0.265717092337917,0.287927565392354,0.103092783505155,36.2602295409181,0,-1,1,6,0.154759,NA,0,0,NA,93,0.914,"US East","Business & Management"
0.272554605887939,0.275849982474588,0.102311854402361,35.2074846044529,0,-1,1,6,0.154759,NA,0,0,NA,93,0.914,"US East","Business & Management"
0.5,0.214037526059764,0.360264900662252,30.9964370546318,0,-1,0,2,0.126377,34,1,0,0,17,0.719,"Asia","Arts & Culture"
0.462518740629685,0.254466057959508,0.0998869204673954,35.003118908382,1,0,1,6,0.589925,35,1,0,0,NA,0.898,"Europe","Data Analysis & Statistics"
0.173440719235812,0.376357056694813,0.19262851600388,31.6835177413202,1,-1,1,11,0.085969,30,0,0,0,41,0.914,"US West","Data Analysis & Statistics"
0.291793776693106,0.277178163616455,0.100200710205342,35.2398843930637,1,-1,1,6,0.113405,7,1,0,0,93,0.914,"US East","Computer Science"
0.31252132378028,0.283567774936061,0.0977770059048281,34.6375899280577,1,-1,1,6,0.113405,7,1,0,0,93,0.914,"US East","Computer Science"
0.292069892473118,0.250487664945496,0.0909463334698894,35.493677921356,1,-1,1,6,0.113405,7,1,0,0,93,0.914,"US East","Computer Science"
0.312213039485767,0.262497760258018,0.0913789053323937,35.1867385192127,1,-1,1,6,0.113405,7,1,0,0,93,0.914,"US East","Computer Science"
0.307353702744692,0.260623746124384,0.0943145589798087,34.5128474042999,1,-1,1,6,0.092227,29,1,0,0,93,0.914,"US East","Engineering"
0.151086464463558,0.37367031912341,0.28055388320289,31.6028295376123,1,0,1,4,0.116511,36,0,0,-1,183,0.914,"US East","Computer Science"
0.183465584056099,0.533917869034406,0.418774180411322,28.0746081504701,1,0,0,3,0.092308,38,0,1,0,183,0.914,"US East","Engineering"
0.220906389923421,0.281182302184689,0.326808473617817,34.6187343087179,1,-1,1,8.5,0.087097,27,0,0,0,226,0.914,"US East","Science"
0.403655532000229,0.108611898016997,0.311988304093567,35.5722131339098,0,0,1,3,0.128651,37,0,0,-1,183,0.914,"US East","Philosophy & Ethics"
0.109338708970595,0.438805525561306,0.349454813030972,30.0700457174846,1,-1,1,6.5,0.084534,26,1,0,0,36,0.891,"Asia","Electronics"
0.599518941671678,0.187241249529545,0.224127372933252,34.7816044545268,1,0,0,3.5,0.200807,34,0,0,1,14,0.914,"US East","Food & Nutrition"
0.522243273967412,0.230266789328427,0.241611257151693,33.2313938820562,1,0,0,2.5,0.462624,35,1,0,1,25,0.891,"Asia","Environmental Studies"
0.448275862068966,0.267857142857143,0.0357142857142857,38.7692307692307,0,-1,1,2.5,0.139268,39,0,0,-1,19,0.914,"US East","Business & Management"
0.61554021894336,0.237307603951298,0.346022942140426,30.3019963702359,0,-1,0,5.5,0.157687,28,0,0,0,226,0.914,"US East","Social Sciences"
0.27188709878856,0.361386805586743,0.138271127441501,33.0071494607089,1,0,1,3.5,0.140911,36,0,0,0,NA,0.911,"Europe","Engineering"
0.459245035120522,0.347199165204193,0.176699129714049,33.2702603014015,0,1,1,5,0.129244,12,0,0,-1,93,0.914,"US East","Business & Management"
0.463784342433899,0.356581957583627,0.191159329328432,33.3345702450811,0,1,1,5,0.129244,12,0,0,-1,93,0.914,"US East","Business & Management"
0.481810115350488,0.357622698174346,0.19331797235023,33.0278174821331,0,1,1,5,0.129244,12,0,0,-1,93,0.914,"US East","Business & Management"
0.475153880798679,0.349071870537839,0.180583736538161,32.400556124689,0,1,1,5,0.129244,12,0,0,-1,93,0.914,"US East","Business & Management"
0.336618521665251,0.406627393225331,0.19343514130244,32.524886084823,0,-1,0,2.5,0.451322,34,0,0,2,22,0.917,"Europe","Humanities"
0.359602649006623,0.223692122669874,0.287704632532219,32.4641472868218,0,0,0,9,0.511105,21,1,0,-3,226,0.914,"US East","Humanities"
0.352789699570815,0.24795193883124,0.290876242095754,32.8870292887029,0,0,0,9,0.375938,14,1,1,-3,226,0.914,"US East","Humanities"
0.493744414655943,0.195415809579783,0.306170513424399,34.1363834422657,0,0,0,9.5,0.498067,37,0,0,-3,226,0.914,"US East","Humanities"
0.533400605449041,0.26489888844248,0.124172185430464,36.9949939927913,0,0,1,2.5,0.003952,81,0,0,2,27,0.914,"US West","Business & Management"
0.548060708263069,0.238751147842057,0.197183098591549,31.7702479338843,0,0,0,10.5,0.07031,27,1,0,-2,93,0.914,"US East","Social Sciences"
0.514134275618375,0.164674634794157,0.219152854511971,37.7392857142856,0,-1,0,1.5,0.108949,20,0,0,-3,19,0.914,"US East","Literature"
0.581853096495439,0.107880642693191,0.216222760290557,37.1420778576742,0,0,0,1.5,0.126471,37,1,0,-1,19,0.914,"US East","Law"
0.586230876216968,0.183394640042039,0.161360347322721,31.4859747545581,0,0,1,5,0.122927,39,0,0,1,52,0.915,"Europe","Arts & Culture"
0.416502946954813,0.142487046632124,0.269824922760041,34.9931170108161,0,-1,0,5,0.157736,32,1,0,1,183,0.914,"US East","Philosophy & Ethics"
